172.20.10.168	equipo01
172.20.10.169	equipo02
172.20.10.170	equipo03
172.20.10.171	equipo04
172.20.10.172	equipo05
172.20.10.173	equipo06
172.20.10.174	equipo07
172.20.10.175	equipo08
172.20.10.176	equipo09
172.20.10.177	equipo10
172.20.10.178	equipo11
172.20.10.179	equipo12
172.20.10.180	equipo13
172.20.10.181	equipo14
172.20.10.182	equipo15
172.20.10.183	equipo16
172.20.10.184	equipo17
172.20.10.185	equipo18
172.20.10.186	equipo19
172.20.10.187	equipo20
172.20.10.188	equipo21
172.20.10.189	equipo22
172.20.10.190	equipo23
